Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Disney's Planes,wii,2013,simulation,disney interactive studios,0.07,0.06,0.0,0.01,0.14,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Behaviour Interactive,E
MX vs. ATV Reflex,ds,2009,racing,thq,0.13,0.0,0.0,0.01,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Rainbow Studios,E
Hero's Saga Laevatein Tactics,ds,2008,role-playing,gungho,0.13,0.0,0.0,0.01,0.14,6.2,10.0,7.624423337856173,321.9280868385346,GungHo,T
Cabela's Outdoor Adventures (2009),ps2,2009,sports,activision value,0.07,0.05,0.0,0.02,0.14,7.199313304721031,21.050643776824035,6.6,5.0,Sand Grain Studios,T
Cranium Kabookii,wii,2007,misc,ubisoft,0.13,0.0,0.0,0.01,0.14,6.4,9.0,5.4,13.0,Ubisoft Quebec,E
T.R.A.G. - Tactical Rescue Assault Group: Mission of Mercy,ps,1998,adventure,sunsoft,0.08,0.05,0.0,0.01,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Active Life Explorer,wii,2010,sports,namco bandai games,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,h.a.n.d. Inc.,E
XCOM 2,ps4,2016,strategy,take-two interactive,0.04,0.08,0.0,0.02,0.14,8.8,28.0,8.0,116.0,Firaxis Games,T
Naruto RPG 2: Chidori vs Rasengan,ds,2005,role-playing,tomy corporation,0.0,0.0,0.14,0.0,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Pro Evolution Soccer 2015,xone,2014,sports,konami digital entertainment,0.03,0.1,0.0,0.01,0.14,7.9,9.0,7.3,65.0,Konami,E
Project V6,ps,1998,strategy,general entertainment,0.0,0.0,0.13,0.01,0.14,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Destruction Derby Raw,ps,2000,racing,sony computer entertainment,0.08,0.05,0.0,0.01,0.14,6.9,9.0,7.3,14.0,Studio 33,E
Risen 2: Dark Waters,x360,2012,role-playing,deep silver,0.05,0.08,0.0,0.01,0.14,6.0,18.0,6.0,58.0,Piranha Bytes,M
World Tour Soccer 2003,ps2,2002,sports,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,7.8,21.0,8.3,7.0,SCEE London Studio,E
Akiba's Trip,psp,2011,adventure,acquire,0.0,0.0,0.14,0.0,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Arctic Tale,ds,2007,adventure,zoo digital publishing,0.13,0.0,0.0,0.01,0.14,3.8,4.0,7.139597315436241,103.95302013422818,Atomic Planet Entertainment,E
Bravo Air Race,ps,1997,racing,thq,0.08,0.05,0.0,0.01,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Onimusha Essentials,ps2,2008,action,capcom,0.07,0.05,0.0,0.02,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Capcom,M
Gundam: The Battle Master,ps,1997,fighting,namco bandai games,0.0,0.0,0.13,0.01,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Ben 10 Galactic Racing,3ds,2011,racing,d3publisher,0.07,0.07,0.0,0.01,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Monkey Bar Games,E
ArmA II,pc,2009,shooter,505 games,0.0,0.12,0.0,0.02,0.14,7.7,38.0,7.5,589.0,Bohemia Interactive,M
WWE 2K17,ps3,2016,sports,take-two interactive,0.05,0.07,0.0,0.02,0.14,7.199313304721031,21.050643776824035,4.1,9.0,Yuke's,T
Spyro: A Hero's Tail,xb,2004,platform,vivendi games,0.11,0.03,0.0,0.01,0.14,6.4,17.0,9.1,10.0,Eurocom Entertainment Software,E
¡Shin Chan Flipa en colores!,ds,2007,platform,505 games,0.0,0.0,0.14,0.0,0.14,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Cities: Skylines,pc,2015,simulation,paradox interactive,0.0,0.13,0.0,0.01,0.14,8.5,60.0,8.9,1404.0,Colossal Order,E
Drawn to Life Collection,ds,2010,misc,thq,0.13,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,5TH Cell,E
Eternal Poison,ps2,2008,role-playing,banpresto,0.07,0.05,0.0,0.02,0.14,6.5,11.0,8.2,9.0,Flight-Plan,T
Gretzky NHL 06,ps2,2005,sports,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,6.2,24.0,6.951433857539316,41.87511563367253,Page 44 Studios,E10+
Gungrave: Overdose,ps2,2004,shooter,play it,0.07,0.05,0.0,0.02,0.14,6.8,50.0,8.7,12.0,Seta Corporation,M
Metal Slug Anthology,wii,2006,shooter,ignition entertainment,0.12,0.01,0.0,0.01,0.14,7.3,38.0,8.0,22.0,Terminal Reality,T
Kidou Senshi Gundam: Shin Gihren no Yabou,psp,2011,strategy,namco bandai games,0.0,0.0,0.14,0.0,0.14,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
The Orange Box,pc,2007,shooter,electronic arts,0.0,0.11,0.0,0.03,0.14,9.6,34.0,9.3,1495.0,Valve Software,M
Shovel Knight,3ds,2015,platform,yacht club games,0.08,0.04,0.02,0.01,0.14,9.0,9.0,8.2,225.0,Yacht Club Games,E
Pro Evolution Soccer 2015,x360,2014,sports,konami digital entertainment,0.05,0.08,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.8,29.0,Konami,E
NBA ShootOut 2002,ps,2001,sports,sony computer entertainment,0.08,0.05,0.0,0.01,0.14,5.3,10.0,6.951433857539316,41.87511563367253,989 Sports,E
The Granstream Saga,ps,1997,role-playing,sony computer entertainment,0.08,0.05,0.0,0.01,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Power Gig: Rise of the SixString,ps3,2010,misc,unknown,0.13,0.0,0.0,0.01,0.14,3.6,10.0,0.5,4.0,Seven45 Studios,T
Mr. Driller: Drill Spirits,ds,2004,puzzle,nintendo,0.08,0.0,0.05,0.01,0.14,7.0,35.0,8.9,9.0,Namco,E
Bio FREAKS,n64,1998,action,gt interactive,0.11,0.03,0.0,0.0,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Bassmasters 2000,n64,1999,sports,thq,0.11,0.03,0.0,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Micro Machines 64 Turbo,n64,1999,racing,codemasters,0.11,0.03,0.0,0.0,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Baldur's Gate: Dark Alliance,gc,2002,role-playing,virgin interactive,0.11,0.03,0.0,0.0,0.14,7.9,10.0,7.7,22.0,High Voltage Software,T
"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",psp,2007,role-playing,nippon ichi software,0.0,0.0,0.13,0.0,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Eternal Eyes,ps,1999,role-playing,sunsoft,0.08,0.05,0.0,0.01,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
The Walking Dead: Season Two,xone,2014,adventure,telltale games,0.08,0.05,0.0,0.01,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Dream Pinball 3D,wii,2008,misc,southpeak games,0.1,0.02,0.0,0.01,0.14,5.4,8.0,7.6,7.0,TopWare Interactive,E10+
Fate/Unlimited Codes,ps2,2008,fighting,capcom,0.0,0.0,0.14,0.0,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Star Wars: Knights of the Old Republic,pc,2003,role-playing,lucasarts,0.01,0.1,0.0,0.02,0.14,9.3,33.0,9.0,1497.0,BioWare,T
The Operative: No One Lives Forever,ps2,2002,shooter,electronic arts,0.07,0.05,0.0,0.02,0.14,6.7,23.0,8.0,16.0,Monolith Productions,T
Gallop & Ride!,wii,2008,sports,thq,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Epidemic,ps,1995,shooter,sony computer entertainment,0.02,0.01,0.1,0.01,0.14,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Monster House,gc,2006,adventure,thq,0.11,0.03,0.0,0.0,0.14,6.0,18.0,7.139597315436241,103.95302013422818,Artificial Mind and Movement,E10+
Backyard Sports: Sandlot Sluggers,ds,2010,sports,atari,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Powerhead Games,E
Dead or Alive 2,dc,2000,fighting,acclaim entertainment,0.0,0.0,0.14,0.0,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Buck Fever,wii,2009,sports,destineer,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Destineer,T
Monster Hunter Diary: Poka Poka Airou Village DX,3ds,2015,action,capcom,0.0,0.0,0.14,0.0,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Cabela's African Safari,x360,2006,sports,activision value,0.13,0.0,0.0,0.01,0.14,5.3,4.0,5.0,8.0,FUN Labs,T
NCAA Basketball Final Four 97,ps,1997,sports,mindscape,0.08,0.05,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Ecco the Dolphin: Defender of the Future,ps2,2002,adventure,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,7.1,17.0,8.5,11.0,Appaloosa Interactive,E
Atari's Greatest Hits: Volume 1,ds,2010,misc,atari,0.13,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
The Bombing Islands,ps,1997,platform,kemco,0.08,0.05,0.0,0.01,0.14,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Yogi Bear: The Video Game,ds,2010,action,d3publisher,0.1,0.03,0.0,0.01,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Earth Defense Force 2: Invaders from Planet Space,psp,2011,action,d3publisher,0.0,0.0,0.14,0.0,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Just Cause,x360,2006,action,eidos interactive,0.1,0.03,0.01,0.01,0.14,7.3,57.0,7.2,52.0,Avalanche Studios,M
Hot Wheels: Beat That!,wii,2007,racing,activision,0.13,0.0,0.0,0.01,0.14,6.800689655172414,23.121379310344828,5.3,9.0,Eutechnyx,E
X-Blades,x360,2009,action,southpeak games,0.1,0.02,0.02,0.01,0.14,5.0,39.0,5.4,14.0,Gaijin Entertainment,M
Odin Sphere: Leifthrasir,psv,2016,role-playing,nippon ichi software,0.02,0.02,0.09,0.01,0.14,9.3,5.0,7.9,83.0,Vanillaware,T
Homefront: The Revolution,xone,2016,shooter,deep silver,0.06,0.07,0.0,0.01,0.14,4.9,12.0,4.1,106.0,Deep Silver Dambuster Studios,M
Gyakuten Saiban 2,gba,2002,action,capcom,0.0,0.0,0.14,0.0,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Godzilla: Save the Earth,xb,2004,fighting,atari,0.1,0.03,0.0,0.0,0.14,6.3,22.0,8.2,6.0,"Pipeworks Software, Inc.",T
Micro Machines,ps2,2002,racing,atari,0.07,0.05,0.0,0.02,0.14,5.4,6.0,7.040858505564388,69.22893481717011,Atari,E
TRINITY: Souls of Zill O'll,ps3,2010,role-playing,ubisoft annecy,0.06,0.03,0.03,0.01,0.14,5.5,34.0,6.2,33.0,Omega Force,T
Detective Barbie: The Mystery Cruise,ps,1999,adventure,mattel interactive,0.08,0.05,0.0,0.01,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Jim Henson's the Muppets: On With the Show!,gba,2003,action,tdk mediactive,0.1,0.04,0.0,0.0,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Desire,sat,1997,adventure,imadio,0.0,0.0,0.14,0.0,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Asphalt: Urban GT 2,ds,2006,racing,ubisoft,0.09,0.04,0.0,0.01,0.14,6.800689655172414,23.121379310344828,6.9,13.0,Virtuos,E10+
Pro Yaky? Spirits 2014,ps3,2014,sports,konami digital entertainment,0.0,0.0,0.14,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Virtua Tennis 4,wii,2011,sports,sega,0.05,0.08,0.0,0.01,0.14,6.5,15.0,7.5,4.0,Sega,E
Tim Burton's The Nightmare Before Christmas: The Pumpkin King,gba,2005,platform,disney interactive studios,0.1,0.04,0.0,0.0,0.14,7.1,5.0,5.5,6.0,TOSE,E10+
Frank Thomas Big Hurt Baseball,ps,1996,sports,acclaim entertainment,0.08,0.05,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Power Pro Kun Pocket 8,ds,2005,sports,konami digital entertainment,0.0,0.0,0.14,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Enclave,xb,2002,adventure,swing! entertainment,0.11,0.03,0.0,0.01,0.14,6.6,28.0,8.4,13.0,Starbreeze,M
Sid Meier's Pirates!,xb,2005,strategy,take-two interactive,0.11,0.03,0.0,0.01,0.14,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Wild ARMs XF,psp,2007,role-playing,505 games,0.07,0.0,0.06,0.01,0.14,6.4,22.0,6.6,19.0,Media Vision,E10+
Bottom of the 9th,ps,1996,sports,konami digital entertainment,0.08,0.05,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
7 Days to Die,ps4,2016,action,telltale games,0.04,0.08,0.0,0.02,0.14,4.5,16.0,5.9,140.0,The Fun Pimps Entertainment LLC,M
Rayman Legends,psv,2014,platform,ubisoft,0.01,0.1,0.0,0.03,0.14,8.7,8.0,8.4,159.0,Ubisoft Montpellier,E10+
Dino Crisis 3,xb,2003,action,capcom,0.08,0.03,0.03,0.0,0.14,5.1,28.0,4.1,22.0,Capcom,M
NFL Blitz 20-03,gc,2002,sports,midway games,0.11,0.03,0.0,0.0,0.14,7.2,11.0,6.951433857539316,41.87511563367253,Point of View,E
The King of Fighters '94 (CD),ng,1993,fighting,snk,0.0,0.0,0.14,0.0,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Horse Life Adventures,wii,2008,simulation,deep silver,0.12,0.01,0.0,0.01,0.14,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Neko Entertainment,E
College Hoops 2K8,ps3,2007,sports,take-two interactive,0.13,0.0,0.0,0.01,0.14,8.2,18.0,5.2,6.0,Visual Concepts,E
Risen,pc,2009,role-playing,deep silver,0.0,0.11,0.0,0.02,0.14,7.7,32.0,8.1,676.0,Piranha Bytes,M
Barbie Explorer,ps,2001,platform,unknown,0.08,0.05,0.0,0.01,0.14,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Disney's Chicken Little,xb,2005,platform,disney interactive studios,0.1,0.03,0.0,0.0,0.14,6.8,15.0,7.3058962264150935,109.6745283018868,Avalanche Software,E10+
Transformers: Devastation,xone,2015,action,activision,0.09,0.04,0.0,0.01,0.14,7.5,25.0,7.9,55.0,PlatinumGames,T
The Darkness II,pc,2012,shooter,take-two interactive,0.1,0.03,0.0,0.01,0.14,7.7,20.0,7.6,448.0,Digital Extremes,M
Age of Empires: Collector's Edition,pc,2000,strategy,ubisoft,0.02,0.1,0.0,0.02,0.14,7.215878378378379,28.33108108108108,8.0,6.0,Ensemble Studios,T
Agile Warrior F-111X,ps,1995,simulation,virgin interactive,0.08,0.05,0.0,0.01,0.14,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Unknown,E
Jikkyou Powerful Pro Yakyuu Wii,wii,2007,sports,konami digital entertainment,0.0,0.0,0.14,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Eragon,x360,2006,action,vivendi games,0.12,0.01,0.0,0.01,0.14,4.8,32.0,5.7,24.0,Stormfront Studios,T
Dynasty Warriors 7: Empires,ps3,2012,action,ubisoft annecy,0.0,0.0,0.14,0.0,0.14,6.3,20.0,8.0,22.0,Omega Force,T
Super Puzzle Fighter II Turbo,ps,1996,puzzle,virgin interactive,0.08,0.05,0.0,0.01,0.14,8.3,9.0,7.4,5.0,Capcom,E
Star Wars: Jedi Power Battles,gba,2002,action,thq,0.1,0.04,0.0,0.0,0.14,5.8,8.0,7.058129175946548,188.76391982182628,HotGen,T
Scene It? Bright Lights! Big Screen!,wii,2009,misc,warner bros. interactive entertainment,0.13,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,gc,2002,fighting,namco bandai games,0.04,0.01,0.08,0.0,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Space Venus starring Morning Musume,ps2,2001,misc,sony music entertainment,0.0,0.0,0.14,0.0,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
To Heart,ps,1999,adventure,aqua plus,0.0,0.0,0.13,0.01,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Let's Cheer,x360,2011,misc,take-two interactive,0.12,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
RockMan & Forte,snes,1998,platform,capcom,0.0,0.0,0.14,0.0,0.14,6.812448979591837,23.76734693877551,7.3058962264150935,109.6745283018868,Unknown,E
Doukyuusei,tg16,1995,adventure,nec,0.0,0.0,0.14,0.0,0.14,6.5268749999999995,22.246875,7.139597315436241,103.95302013422818,Unknown,E
Dead Island Definitive Collection,ps4,2016,action,deep silver,0.03,0.07,0.01,0.02,0.14,6.3,32.0,6.4,45.0,Techland,M
Dragon Age: Origins - Ultimate Edition,pc,2010,role-playing,electronic arts,0.0,0.12,0.0,0.02,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
MySims Collection,wii,2010,misc,electronic arts,0.13,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Full Fat,E
Master Jin Jin's IQ Challenge,ds,2006,misc,505 games,0.13,0.0,0.0,0.01,0.14,3.8,4.0,6.805827505827505,30.7995337995338,Astroll,E
Blazing Angels 2: Secret Missions of WWII,x360,2007,simulation,ubisoft,0.11,0.02,0.0,0.01,0.14,7.2,24.0,7.8,12.0,Ubisoft Romania,T
The History Channel: Civil War - A Nation Divided,x360,2006,shooter,activision,0.13,0.0,0.0,0.01,0.14,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Rayman Arena,gc,2002,racing,ubisoft,0.11,0.03,0.0,0.0,0.14,6.0,10.0,7.2,6.0,Ubisoft,E
FIFA 06 Soccer,gc,2005,sports,electronic arts,0.11,0.03,0.0,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
DmC: Devil May Cry,xone,2015,action,capcom,0.08,0.04,0.0,0.01,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
How to Train Your Dragon,x360,2010,action,activision,0.11,0.02,0.0,0.01,0.14,5.8,23.0,7.6,10.0,Etranges Libellules,E10+
Farming Simulator 2012,3ds,2012,action,excalibur publishing,0.0,0.12,0.0,0.01,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
4x4 EVO 2,gc,2002,racing,vivendi games,0.11,0.03,0.0,0.0,0.14,5.6,7.0,7.040858505564388,69.22893481717011,Terminal Reality,E
Pro Yakyuu Netsu Star 2006,ps2,2006,sports,namco bandai games,0.0,0.0,0.14,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Battlefield: Hardline,pc,2015,shooter,electronic arts,0.0,0.13,0.0,0.01,0.14,7.1,31.0,3.8,773.0,Visceral Games,M
Cyber Sled,ps,1995,action,sony computer entertainment,0.0,0.0,0.13,0.01,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Puyo Puyo!! 20th Anniversary,ds,2011,puzzle,sega,0.0,0.0,0.14,0.0,0.14,6.723181818181819,20.454545454545453,7.1384,33.12,Unknown,E
Shining Soul,gba,2002,role-playing,atari,0.03,0.01,0.09,0.0,0.14,5.8,13.0,8.5,8.0,Next Entertainment,E
Brothers: A Tale of Two Sons,ps4,2015,adventure,505 games,0.03,0.08,0.0,0.02,0.14,8.1,10.0,8.6,73.0,Starbreeze,T
Monster Lab,ds,2008,role-playing,eidos interactive,0.12,0.01,0.0,0.01,0.14,7.5,8.0,7.624423337856173,321.9280868385346,Backbone Entertainment,E10+
In the Hunt,ps,1995,shooter,thq,0.03,0.02,0.07,0.01,0.14,7.026002166847237,35.679306608884076,7.053259668508287,378.28066298342543,Unknown,E
Daytona USA Championship Circuit Edition,sat,1995,racing,sega,0.0,0.0,0.14,0.0,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Marvel vs. Capcom 2: New Age of Heroes,xb,2002,fighting,capcom,0.09,0.03,0.01,0.0,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
SNK vs. Capcom: The Match of the Millennium,ps2,2006,fighting,sega,0.0,0.02,0.0,0.12,0.14,6.915555555555555,27.960493827160494,7.295949367088608,64.59746835443038,Unknown,E
Dead Rising 2,pc,2010,action,capcom,0.1,0.02,0.0,0.01,0.14,7.8,17.0,6.3,211.0,Blue Castle Games,M
Paws & Claws: Pet Vet 2,ds,2007,simulation,thq,0.13,0.0,0.0,0.01,0.14,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Unknown,E
Ape Escape Academy (jp sales),psp,2004,misc,sony computer entertainment,0.0,0.0,0.13,0.0,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Fear Factor: Unleashed,gba,2004,action,hip interactive,0.1,0.04,0.0,0.0,0.14,3.0,15.0,3.0,4.0,DC Studios,T
Hard Rock Casino,psp,2007,misc,oxygen interactive,0.12,0.0,0.0,0.01,0.14,4.4,8.0,6.805827505827505,30.7995337995338,Farsight Studios,T
Robots,ds,2005,action,vivendi games,0.12,0.0,0.0,0.01,0.14,6.667693138843868,27.891950297136685,6.7,6.0,Griptonite Games,E
Houshinengi,ps,1998,strategy,tecmo koei,0.0,0.0,0.13,0.01,0.14,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
7th Dragon,ds,2009,role-playing,sega,0.0,0.0,0.14,0.0,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Bust-A-Move Deluxe,psp,2006,puzzle,505 games,0.13,0.0,0.0,0.01,0.14,6.7,7.0,7.1384,33.12,Taito Corporation,E
Murdered: Soul Suspect,ps3,2014,action,square enix,0.05,0.05,0.02,0.02,0.14,6.667693138843868,27.891950297136685,7.1,55.0,Airtight Games,M
Pet Pals: Animal Doctor,wii,2008,simulation,jowood productions,0.13,0.0,0.0,0.01,0.14,6.860919540229885,21.419540229885058,7.132153392330384,83.42182890855457,Legacy Interactive,E10+
LEGO Island Xtreme Stunts,gba,2002,racing,lego media,0.1,0.04,0.0,0.0,0.14,6.800689655172414,23.121379310344828,7.040858505564388,69.22893481717011,Unknown,E
Shining Resonance,ps3,2014,role-playing,sega,0.0,0.0,0.14,0.0,0.14,7.265526675786593,32.51436388508892,7.624423337856173,321.9280868385346,Unknown,E
Heroes over Europe,x360,2009,simulation,ubisoft,0.1,0.02,0.0,0.01,0.14,6.2,39.0,8.1,9.0,Transmission Games,T
Alvin and the Chipmunks,ds,2007,misc,brash entertainment,0.12,0.0,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Sensory Sweep,E
Create,x360,2010,action,electronic arts,0.1,0.03,0.0,0.01,0.14,6.0,19.0,5.8,10.0,EA Bright Light,E
World Soccer Winning Eleven 9 Bonus Pack,ps2,2006,sports,konami digital entertainment,0.0,0.0,0.14,0.0,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
UEFA Euro 2004: Portugal,ps2,2004,sports,electronic arts,0.07,0.05,0.0,0.02,0.14,7.6,21.0,6.4,18.0,EA Canada,E
Happy Feet,wii,2006,action,midway games,0.12,0.0,0.0,0.01,0.14,4.6,11.0,6.7,16.0,Artificial Mind and Movement,E
Hot Wheels: World Race,gba,2003,racing,thq,0.1,0.04,0.0,0.0,0.14,6.800689655172414,23.121379310344828,6.2,5.0,THQ,E
Major League Baseball 2K8,wii,2008,sports,take-two interactive,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,Unknown,E
Lips: I Love The 80s,x360,2010,misc,microsoft game studios,0.0,0.12,0.0,0.02,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
NBA Jam,xb,2003,sports,acclaim entertainment,0.1,0.03,0.0,0.0,0.14,6.8,17.0,9.1,7.0,Acclaim,E
World Tour Soccer 2002,ps2,2001,sports,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,7.7,21.0,7.5,10.0,SCEE London Studio,E
NBA Ballers: Chosen One,ps3,2008,sports,midway games,0.12,0.0,0.0,0.01,0.14,5.4,23.0,6.5,4.0,Midway,E
Nicktoons: MLB,wii,2011,sports,take-two interactive,0.13,0.0,0.0,0.01,0.14,7.199313304721031,21.050643776824035,6.951433857539316,41.87511563367253,High Voltage Software,E
NCIS,x360,2011,adventure,ubisoft,0.1,0.02,0.0,0.01,0.14,3.5,11.0,4.7,7.0,Ubisoft,T
Travel Games For Dummies,ds,2008,misc,electronic arts,0.12,0.0,0.0,0.01,0.14,6.2,5.0,6.805827505827505,30.7995337995338,Electronic Arts,E
Interactive Sampler Disc 6,ps,1997,misc,sony computer entertainment,0.08,0.05,0.0,0.01,0.14,6.664833005893909,21.68369351669941,6.805827505827505,30.7995337995338,Unknown,E
Shinobido 2: Tales of the Ninja,psv,2011,action,sony computer entertainment,0.04,0.05,0.02,0.02,0.14,6.667693138843868,27.891950297136685,7.058129175946548,188.76391982182628,Unknown,E
Apex,xb,2003,racing,atari,0.1,0.03,0.0,0.0,0.14,7.4,26.0,9.1,7.0,Milestone S.r.l,E
Kamen Rider Battle: Ganbaride,ds,2010,strategy,namco bandai games,0.0,0.0,0.14,0.0,0.14,7.215878378378379,28.33108108108108,7.294426229508197,198.41311475409836,Unknown,E
Persona 4: Arena Ultimax,ps3,2014,fighting,atlus,0.0,0.0,0.13,0.0,0.14,8.4,38.0,8.1,85.0,Arc System Works,T
Tomb Raider: The Prophecy,gba,2002,action,ubisoft,0.1,0.04,0.0,0.0,0.14,6.6,20.0,8.8,13.0,Ubisoft Milan,T
Vampire Night,ps2,2001,shooter,sony computer entertainment,0.07,0.05,0.0,0.02,0.14,6.5,18.0,8.0,5.0,Wow Entertainment,T
Valhalla Knights: Eldar Saga,wii,2009,role-playing,rising star games,0.1,0.01,0.01,0.01,0.14,3.5,17.0,6.7,19.0,"K2, Kurogane",T
